,from_user_id,to_user_id,formation
0,323414232,580832386,{'2018.05.10': True}
1,376693951,140011527,{'2018.05.02': True}
2,236443603,762975238,{'2018.05.02': True}
3,831765693,495928885,{'2018.05.11': True}
4,453900488,139265919,{'2018.05.19': True}
5,715580484,339729774,{'2018.05.21': True}
6,614068021,425933822,{'2018.05.03': True}
7,932906380,371379659,{'2018.05.03': True}
8,185153719,288000909,{'2018.05.15': True}
9,404286732,825982985,{'2018.05.12': True}
10,943397135,315941679,{'2018.05.02': True}
11,153772652,296186755,{'2018.05.02': True}
12,147027932,891177368,{'2018.05.21': True}
13,67318883,229850319,{'2018.05.05': True}
14,318006413,304636759,{'2018.05.10': True}
15,159965297,228970729,{'2018.05.11': True}
16,484031646,527765077,{'2018.05.18': True}
17,218656047,225276523,{'2018.05.11': True}
18,326288590,258833444,{'2018.05.23': True}
19,67318883,477621290,{'2018.05.17': True}
20,236443603,183203121,{'2018.05.13': True}
21,629318739,587744027,{'2018.05.17': True}
22,278756441,489239437,{'2018.05.16': True}
23,25553860,321387139,{'2018.05.02': True}
24,300277618,396480979,{'2018.05.12': True}
25,352871863,314125778,{'2018.05.08': True}
26,796448176,206661587,{'2018.05.11': True}
27,537591456,306990461,{'2018.05.18': True}
28,93385894,900469680,{'2018.05.23': True}
29,251141714,106907553,{'2018.05.09': True}
30,338640397,298455947,{'2018.05.07': True}
31,754257121,448306370,{'2018.05.08': True}
32,232872415,895381707,{'2018.05.15': True}
33,144907443,240619794,{'2018.05.07': True}
34,96313649,782227273,{'2018.05.03': True}
35,333914287,966522690,{'2018.05.10': True}
36,97633683,807848282,{'2018.05.22': True}
37,112285223,204943693,{'2018.05.01': True}
38,188561280,760829007,{'2018.05.22': True}
39,332901755,303528806,{'2018.05.19': True}
40,293828797,228687743,{'2018.05.21': True}
41,448956624,162417303,{'2018.05.26': True}
42,312324238,367288942,{'2018.05.06': True}
43,618201430,817787083,{'2018.05.11': True}
44,338198008,166501878,{'2018.05.19': True}
45,170758481,836326702,{'2018.05.04': True}
46,434387235,360735109,{'2018.05.10': True}
47,314449538,88899411,{'2018.05.04': True}
48,837023808,888118106,{'2018.05.08': True}
49,907154399,332799977,{'2018.05.27': True}
50,147551716,338268946,{'2018.05.24': True}
51,52177613,224727919,{'2018.05.13': True}
52,485735472,281985346,{'2018.05.17': True}
53,283216865,141308484,{'2018.05.04': True}
54,290506899,260125859,{'2018.05.30': True}
55,327649487,221355069,{'2018.05.01': True}
56,363075463,148016688,{'2018.05.05': True}
57,220145170,283799369,{'2018.05.02': True}
58,185711683,960623069,{'2018.05.02': True}
59,505464968,288517297,{'2018.05.05': True}
60,924167054,162427198,{'2018.05.21': True}
61,425432346,931667750,{'2018.05.25': True}
62,101400688,70281458,{'2018.05.16': True}
63,334585040,105367399,{'2018.05.29': True}
64,123522480,364870310,{'2018.05.19': True}
65,171867810,70281458,{'2018.05.14': True}
66,938645392,939433993,{'2018.05.11': True}
67,124708008,116276502,{'2018.05.06': True}
68,369583895,328899293,{'2018.05.14': True}
69,342114048,299384045,{'2018.05.14': True}
70,108271772,786953736,{'2018.05.09': True}
71,30725104,166886925,{'2018.05.13': True}
72,297300944,870348278,{'2018.05.27': True}
73,356180353,962844904,{'2018.05.11': True}
74,833429630,286150122,{'2018.05.07': True}
75,943397135,952347667,{'2018.05.21': True}
76,227806410,294182546,{'2018.05.01': True}
77,767117641,241277446,{'2018.05.30': True}
78,215036184,741129642,{'2018.05.11': True}
79,314339417,852552092,{'2018.05.01': True}
80,350791386,887799636,{'2018.05.06': True}
81,342047634,353631855,{'2018.05.09': True}
82,887182146,32660008,{'2018.05.18': True}
83,154069721,891177368,{'2018.05.23': True}
84,314339417,700707449,{'2018.05.03': True}
85,278747348,623541568,{'2018.05.08': True}
86,159201273,947934061,{'2018.05.18': True}
87,105230647,353550005,{'2018.05.11': True}
88,368442156,218922545,{'2018.05.07': True}
89,45085620,221274342,{'2018.05.20': True}
90,256852529,533536556,{'2018.05.26': True}
91,342192231,172795889,{'2018.05.05': True}
92,97707163,142005960,{'2018.05.12': True}
93,568155550,288395199,{'2018.05.05': True}
94,221274342,813646417,{'2018.05.17': True}
95,253259284,477970480,{'2018.05.24': True}
96,614068021,493130488,{'2018.05.03': True}
97,807149924,266045888,{'2018.05.16': True}
98,293675480,756544988,{'2018.05.12': True}
99,778977823,819616339,{'2018.05.07': True}
100,928910988,715181959,{'2018.05.12': True}
101,298020453,805514119,{'2018.05.15': True}
102,760829007,147180161,{'2018.05.06': True}
103,230850831,534601323,{'2018.05.25': True}
104,108271772,315899534,{'2018.05.10': True}
105,203065438,747510565,{'2018.05.18': True}
106,242561084,294837568,{'2018.05.06': True}
107,234345208,708592708,{'2018.05.26': True}
108,395883401,855821683,{'2018.05.09': True}
109,315941679,334585040,{'2018.05.01': True}
110,876789610,109881388,{'2018.05.20': True}
111,482905766,148290547,{'2018.05.07': True}
112,240179598,780304124,{'2018.05.08': True}
113,193069587,362391378,{'2018.05.21': True}
114,818782100,841817036,{'2018.05.13': True}
115,227292161,164903702,"{'2018.05.28': False, '2018.05.17': True}"
116,767669089,139032492,{'2018.05.17': True}
117,147594285,332423281,{'2018.05.26': True}
118,133878521,87700605,{'2018.05.28': True}
119,237928616,435481669,{'2018.05.30': True}
120,923055362,801326174,{'2018.05.04': True}
121,372916058,285064188,{'2018.05.14': True}
122,726902779,252265677,{'2018.05.13': True}
123,755188029,68714550,{'2018.05.17': True}
124,497539183,786953736,{'2018.05.25': True}
125,860200590,367997832,{'2018.05.24': True}
126,290506899,100875543,{'2018.05.02': True}
127,320736080,109881388,{'2018.05.10': True}
128,215062690,37036731,{'2018.05.20': True}
129,238165726,754931736,{'2018.05.03': True}
130,234102214,373568051,{'2018.05.17': True}
131,247887608,333528691,{'2018.05.12': True}
132,332799977,153019444,{'2018.05.18': True}
133,533536556,942006784,{'2018.05.30': True}
134,147551716,291611186,{'2018.05.23': True}
135,267200305,828020555,{'2018.05.12': True}
136,436045690,164596213,{'2018.05.13': True}
137,944226110,163049334,{'2018.05.10': True}
138,294687724,189850674,{'2018.05.18': True}
139,851743944,163286867,{'2018.05.23': True}
140,249663199,449199437,{'2018.05.25': True}
141,477797229,288921011,{'2018.05.21': True}
142,334585040,230112377,{'2018.05.13': True}
143,283141566,943397135,{'2018.05.09': True}
144,309245551,827129070,{'2018.05.03': True}
145,218095010,265700526,{'2018.05.02': True}
146,936958522,982160659,{'2018.05.18': True}
147,269014960,125094226,{'2018.05.11': True}
148,861931997,159579536,{'2018.05.10': True}
149,471153734,159967656,{'2018.05.20': True}
150,941377883,746201372,{'2018.05.29': True}
151,99528248,141306910,{'2018.05.23': True}
152,244600920,839025106,"{'2018.05.06': True, '2018.05.09': False}"
153,294388311,750860625,{'2018.05.02': True}
154,342151708,295636138,{'2018.05.04': True}
