id,id,name,screen_name,lang,match_name,match_ratio,followers_count,friends_count
0,106086098,ŞEHİR Üniversitesi,SehirUniversite,tr, Istanbul Sehir Universitesi,84,12195,166
1,989792178183471104,ŞEHİR Mimarlık Tasarım,sehir_arch_dsgn,tr, Msn -,60,134,17
2,758889025,Cihan Cobanoglu,cihansehiruni,tr, Cihan Kesenci,69,418,1002
3,726207614,klasik,klasikyayinlari,tr, ! Bolum Baskanlari,65,6464,142
4,497942798,Küre Yayınları,kureyayinlari,tr,Sureyya Yilmazer,69,9028,165
5,2674866582,Fatıma Tuba Yaylacı,fatimatubapetek,en,Fatma Atik,64,852,246
6,1439588580,Mahmut Koca,mkoca66,en,Behram Koca,69,1369,42
7,808669981953191940,Savaş Ş. Barkçin,SavasSBarkcin,tr, Savas Barkcin,92,21413,6
8,813478272910630913,SehirCHES,SehirCHES,tr, Ches,90,129,202
9,835028362032742400,Girişimcilik Kulübü,SehirGirisim,tr, Engelsiz Sehir Birimi,68,173,338
10,3627550275,Interdisciplinary,IDatSEHIR,en,Sehir AID,74,258,43
11,1544049488,Mehmet Ali Pulcu,AliPulcu,tr, Ali Pulcu,94,19153,144
12,351008632,furkan akbulut,Afurkanakbulut,tr,Abdurrahim Furkan Akbulut,84,212,177
13,370643754,İSTKA,istkaorgtr,tr, ! Arge,68,8801,249
14,603268093,Cengiz Benli,ycbenli,en, Cengiz Benli,64,116,304
15,181567076,Ahmet Davutoğlu,Ahmet_Davutoglu,tr, Ahmet Ademoglu,69,5821492,73
16,870255908642856960,Şehir Siyaset,polssehir,en, Sehir Postasi,69,215,29
17,615879251,Manivela Akademi,ManivelaAkademi,tr, Kadem,90,1175,2112
18,15438087,Zeynep Bodur Okyay,zbodurokyay,en,Onur Kaya,60,2253,122
19,4351834876,Kodlama Atölyesi,KodlamaAtolyesi,en, YBS,60,1212,3231
20,793166250486730753,ŞEHİR Tiyatro,sehirdramaclub,tr, ! Clubs,80,50,14
21,59743394,Haluk Çakır,halukcak,tr, Haluk Cakir,84,217,883
22,19869574,Emre Urfalı,emreurfali,tr, Emre Urfali,95,3633,2291
23,847741204204634112,Şehir Cycling Club,SehirCycling,tr,Sehir Cycling Club,83,123,92
24,373220891,AB Bakanlığı,ABBakanligi,tr, Asli Abak,66,76724,135
25,59762096,Türkiye Ulusal Ajansı,ulusalajans,tr, Uluslararasi Ogrenciler Akademisi,66,43773,223
26,79819842,Kagan Koc,kaankursad,en,Kaan Kurt,74,445,484
27,846945019311390720,Center Modern Turkey,sehirmot,en, Sehir FM,75,203,137
28,841682908284878848,Şehir Kariyer Fest,sehircareerfest,tr, ! Sehir Kariyer Fest,79,241,220
29,838948876023435264,investistanbul,investistanbul_,tr, Unutma Istanbul,67,343,60
30,819269230789087236,Sehir Alumni,sehir_alumni,en,Sehir Mun,67,275,5
31,294182546,Önder Mutlu Yılmaz,ondermy,tr, Onder Mutlu Yilmaz,77,134,56
32,2937682529,Mechanics Ar-Ge,MechanicsArGe,tr, Mechanics AR-GE,93,107,67
33,626328552,ramazan kılıç,rmznklc2,en-gb,Ramazan Kilic,67,280,253
34,718144816014557185,Seyyar Masalcılar,Seyyarmasalci,tr, ! Cib,72,258,620
35,2273089304,BilkentTTO,BilkentTTO,en, ! ENTP,68,3164,472
36,2848325476,Ankara TTO,AnkaraTTO,tr,Batuhan Karatas,70,2307,341
37,163853662,İTÜ,itu1773,tr, 1917,45,37717,113
38,95699464,Kartal Belediyesi,kartalbld,tr,Tayland Kara,64,52702,69
39,368197868,Altınok Öz,altinokoz,tr,Ozge Altin,70,9372,651
40,81516526,Onur Güzey,OnurGuzey,en, Onur Güzey,89,55,27
41,782277126468825089,Sü,Sumeyra_Ozturk_,tr,Sumeyra Ozturk,90,98,145
42,764021907171663872,Enes ERKAN,meneserkan,en,Enes Erkan,90,739,114
43,950487481,Fatih Altug,fatialtug,en, Fatih Altuğ,80,870,529
44,519442683,TÜBİTAK,Tubitak,tr,Qbit .,68,496033,36
45,95085077,Murat Can Atakan,mcanatakan,tr,Caner Atacan,73,1296,842
46,795546530845442048,ŞehirHalklaİlişkiler,hilsehir,tr, Sehir Sehir,74,129,128
47,236422091,Nuri Cihat Onat,NCONAT,en,Aleyna Cona,66,107,289
48,796309949768957952,ŞehirMYO,SehirMYO,tr, Sehir FM,75,127,35
49,781051166188765184,Şehir Spor Merkezi,SehirUniSpor,tr, ! Sehir Spor,82,113,4
50,2612870692,Hasan Kösebalaban,hkosebalaban1,en, Hasan Kosebalaban,80,2862,356
51,434269864,Huseyin Alptekin,husalptekin,en,Busra Alptekin,80,523,331
52,777599584164016128,Özgür KAVAK,ozguralik,tr, Ozgur Kavak,70,1473,509
53,768871193470464000,Halil Yekin Güzel,HalilYekin,tr, Halil Yekin Guzel,81,53,105
54,411064560,Zubeyir Nisanci,ZubeyirNisanci,en, Zubeyir Nisanci,97,543,366
55,2213550694,Enes Eryarsoy,eneseryarsoy,en, Enes Eryarsoy,96,211,118
56,162310009,Sadi Evren SEKER,sadievrenseker,en, Sadi Evren Seker,93,4395,65
57,4267326928,Serhat Dalgalıdere,tohumfikir,tr,Toufik Bouras,61,74,14
58,47148388,kasim kopuz,kkopuz,en, Kasim Kopuz,75,369,655
59,38666681,ensar  gül,ensargul,en, Ensar Gul,94,233,103
60,736829699918340096,Şehir İletişim,sehir_iletisim,tr, ! Isif,68,300,263
61,108562854,Yükseköğretim Kurulu,YuksekogretimK,tr, ! SEP,60,132263,172
62,1142592968,ÖSYM,OSYMbaskanligi,tr, ! Bolum Baskanlari,67,340074,6
63,2847233849,Şehir Muzik Kulübü,sehirmusicclub,tr, ! Clubs,80,245,250
64,108937730,süeda,DudaninFeneri,en,Enis Duman,58,399,77
65,193285676,Haluk Dortluoğlu,HalukDortluoglu,en,Zehra Nur Tutluoglu,65,2184,1217
66,4093523247,Aziz Sancar,AzizGwenSancar,en,Enes Acar,70,176600,42
67,1058091331,Hatice Aynur,haticeaynurr,tr, Hatice Aynur,92,673,230
68,2214758677,Mehmet Ali Büyükkara,malibuyukkara,tr, Mehmet Ali Buyukkara,83,15121,481
69,2207630876,Şehir Genç Yeşilay,sehiryesilay,tr, Genc Yesilay,67,542,85
70,3598169177,Sözlü Tarih,sozlutarihorgtr,tr, ! Tarih,90,2880,17
71,4576344862,SEHIR Computer Sci.,sehir_cs,en, Sehir Sehir,73,165,36
72,4124637371,Cengiz Kallek,cengizkallek,tr, Cengiz Kallek,96,2248,269
73,327286315,İrem Kılınç,iremk1nc,tr,Irem Kilinc,74,385,172
74,4091594428,Şehir Icebreakers,sehiricebreaker,en,Sehir Icebreakers Club,81,112,53
75,4117422969,ŞEHİR Felsefe Bölümü,SehirFelsefe,tr, ! Felsefe,90,177,44
76,306301606,Mustafa Uğurlu,MustafaUgurlu,tr,Mustafa Gurel,85,223,166
77,1186569372,Bilim ve Sanat Vakfı,bisavorgtr,tr, Svs -,60,27382,7
78,3376393073,Humeyra,hmyrsl,en,Humeyra Seles,63,172,354
79,572370285,Fatmanur Puytu,nurpuytu,tr,Fatmanur Puytu,79,354,142
80,3892757176,Şehir Araştırmaları,SamSehir,tr, Sehir Sehir,73,2391,60
81,108036479,Ilke Buyukduman,ilkebu,en,Cemile Busra Kaya,75,247,402
82,32660008,reyyan bilge,ReyyanBilge,en, Reyyan Bilge,96,1643,392
83,318006413,Yunus Ali Erol,yunusalierol,tr, Yunus Ali Erol,92,66,130
84,1729299919,Gökhan AK,ak1gokhan,tr,Gokhan Ak,85,362,552
85,2837993698,Resadet Imanov,Imanov_Resadet,en,Resadet Imanov,88,54,63
86,34389603,Emsal Ateş Özdemir,EmsalAtes,en,Asli Ates,67,3289,2330
87,3307936077,Ilke Buyukduman,FigenIlke,en,Figen Simsek,67,94,181
88,209938923,Mustafa Alper Gümüş,malpergumus,tr, Mustafa Alper Gumus,82,63,22
89,3158199343,Şehir Fest,sehirfest,tr, Sehir Destek,76,86,65
90,3193917928,Elif Çelebi,_elifcelebi,en, Elif Çelebi,86,268,268
91,527466706,Üsküdar Üniversitesi,uskudaruni,tr,Sude Karanfil,61,22311,53
92,3084853732,ÖzdeğerlendirmeProje,OzSehirP,tr, Sehir Sehir,73,54,351
93,3134017931,M.S.A.,mertsaydogan,tr,Mert Serkan Aydogan,77,151,194
94,946886773,Mustafa Özel,MustafaOzelden,tr,Mustafa Ozel,85,3895,0
95,1400588754,Abdurrahman Atçıl,aatcil,en,Banu Saatci,82,1183,451
