,from_user_id,to_user_id,formation
0,165638829,324673815,{'2018.05.04': True}
1,868134272,125907735,{'2018.05.26': True}
2,475761925,478731173,{'2018.05.26': True}
3,929796263,360884464,{'2018.05.23': True}
4,147682728,386419724,{'2018.05.21': True}
5,288607062,306293307,{'2018.05.05': True}
6,755481894,995806488,{'2018.05.26': True}
7,178450017,504732379,{'2018.05.29': True}
8,257357571,189703476,{'2018.05.08': True}
9,863473065,321885193,{'2018.05.27': True}
10,362755027,581066517,{'2018.05.25': True}
11,787745102,277394939,{'2018.05.05': True}
12,518787696,294541974,{'2018.05.18': True}
13,103678957,304636759,{'2018.05.29': True}
14,320142855,416136848,{'2018.05.06': True}
15,618131962,209491402,{'2018.05.04': True}
16,260125859,105367399,{'2018.05.16': True}
17,143958858,603268093,{'2018.05.29': True}
18,96313649,276090463,{'2018.05.10': True}
19,633302673,287329488,{'2018.05.17': True}
20,842651605,169170483,{'2018.05.09': True}
21,445806392,141306910,{'2018.05.22': True}
22,978375616,625979067,{'2018.05.06': True}
23,221630754,915539516,{'2018.05.06': True}
24,985120873,448053871,{'2018.05.03': True}
25,214511627,339803592,{'2018.05.09': True}
26,338268946,174641976,{'2018.05.06': True}
27,887182146,159720158,{'2018.05.03': True}
28,163502969,965098470,{'2018.05.02': True}
29,623541568,188679030,{'2018.05.20': True}
30,738823022,59225068,{'2018.05.18': True}
31,956177545,276471646,{'2018.05.04': True}
32,476704348,504732379,{'2018.05.02': True}
33,358999317,143958858,{'2018.05.30': True}
34,323385174,356180353,{'2018.05.01': True}
35,66645671,244507273,{'2018.05.27': True}
36,276882364,408914264,{'2018.05.28': True}
37,940130879,258984683,{'2018.05.25': True}
38,293675480,736998781,{'2018.05.08': True}
39,552748176,228277695,{'2018.05.08': True}
40,455110108,357042122,{'2018.05.03': True}
41,342926198,462352198,{'2018.05.19': True}
42,734074579,819269230,{'2018.05.07': True}
43,124959052,178728184,{'2018.05.03': True}
44,332799977,271062336,{'2018.05.28': True}
45,330465910,447440907,{'2018.05.12': True}
46,753998209,982160659,{'2018.05.17': True}
47,244600920,428560048,{'2018.05.30': True}
48,534601323,431102126,{'2018.05.03': True}
49,750860625,271521207,{'2018.05.09': True}
50,232872415,111082356,{'2018.05.14': True}
